iter	Passed	Remaining
0	305	305474
1	432	215630
2	571	189816
3	809	201540
4	1054	20981655	1209	20032566	1442	204587
7	1623	201303
8	1747	192472
9	1897	187862
10	2029	182465
11	2234	184006
12	2365	179565
13	2535	178586
14	2755	180927
15	2906	178727
16	3097	179134
17	3236	176590
18	3364	173699
19	3522	172583
20	3673	171268
21	3877	172389
22	4009	170332
23	4221	171677
24	4370	170461
25	4494	168360
26	4655	167773
27	4829	167654
28	5011	167796
29	5174	167310
30	5316	166187
31	5432	164332
32	5593	163909
33	5683	161484
34	5817	160401
35	5928	158752
36	6036	157123337	6201	156989
38	6340	156230
39	6483	155598
40	6616	154755
41	6725	153400442	6923	154096
43	7080	153849
44	7218	153185
45	7386	153194
46	7503	152144
47	7712	152962
48	7874	152825
49	8063	153210
50	8198	152555
51	8372	152635
52	8533	152469
53	8691	152254
54	8825	151630
55	8956	150973
56	9100	150560
57	9216	149685
58	9379	149601
59	9505	148919
60	9648	148526
61	9830	148731
62	9948	147962
63	10138	148273
64	10246	147392
65	10355	146544
66	10520	146496
67	10693	146561
68	10809	145855
69	11004	146202
70	11133	145680
71	11245	144948
72	11384	144570
73	11520	144160
74	11635	143505
75	11774	143154
76	11918	142871
77	12036	142276
78	12178	141978
79	12338	141895
80	12458	141349
81	12578	140821
82	12763	141012
83	12874	140396
84	12984	139777
85	13126	139509
86	13240	138945
87	13395	138824
88	13495	138143
89	13640	137921
90	13786	137712
91	13963	137815
92	14065	137175
93	14206	136924
94	14328	136501
95	14449	136065
96	14590	135827
97	14759	135845
98	14928	135867
99	15025	135231
100	15205	135346
101	15337	135031
102	15482	134832
103	15646	134803
104	15826	134899
105	16048	135349
106	16230	135455
107	16376	135254
108	16533	135151
109	16713	135228
110	16846	134921
111	16975	134588
112	17113	134329
113	17251	134078
114	17399	133902
115	17561	133833
116	17721	133742
117	17880	133647
118	18070	133782
119	18248	133820
120	18346	133278
121	18489	133062
122	18600	132625
123	18725	132287
124	18915	132410
125	19041	132084
126	19193	131933
127	19338	131744
128	19521	131809
129	19689	131766
130	19805	131379
131	19961	131262
132	20071	130843
133	20201	130555
134	20351	130402
135	20514	130328
136	20676	130248
137	20806	129962
